date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,93.8610687255859
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,95.3799819946289
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,96.7818069458008
1997,nan
1998,nan
1999,nan
2000,nan
2001,nan
2002,nan
2003,nan
2004,nan
2005,nan
2006,97.7896270751953
2007,97.8638916015625
2008,98.1635589599609
2009,98.2672271728516
2010,98.0727081298828
2011,98.3358993530273
2012,98.3959426879883
2013,98.3638687133789
2014,98.4359283447266
2015,98.5238723754883
2016,98.5614700317383
2017,98.61572265625
2018,98.703857421875
2019,98.7703475952148
2020,nan
2021,nan
2022,nan
2023,nan
