date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,76.2004928588867
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,82.402099609375
1997,nan
1998,nan
1999,nan
2000,nan
2001,nan
2002,nan
2003,nan
2004,nan
2005,nan
2006,nan
2007,88.7172470092773
2008,nan
2009,92.8948593139648
2010,92.8773193359375
2011,93.1021423339844
2012,93.7294692993164
2013,nan
2014,94.1399002075195
2015,94.367919921875
2016,nan
2017,87.0466690063477
2018,nan
2019,95.0229721069336
2020,nan
2021,90.0013580322266
2022,nan
2023,nan
