date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,91.0630874633789
1994,nan
1995,nan
1996,91.207160949707
1997,nan
1998,nan
1999,nan
2000,nan
2001,nan
2002,nan
2003,nan
2004,92.8037796020508
2005,92.8486633300781
2006,92.2996826171875
2007,92.6517868041992
2008,93.3781814575195
2009,93.2446899414062
2010,93.3723297119141
2011,93.5805282592773
2012,nan
2013,nan
2014,94.1862487792969
2015,94.2450485229492
2016,94.6538467407227
2017,nan
2018,95.0925064086914
2019,95.249267578125
2020,95.6363296508789
2021,nan
2022,nan
2023,nan
