date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,57.9857406616211
1987,58.5153198242188
1988,59.0273590087891
1989,59.424919128418
1990,59.9398384094238
1991,60.406379699707
1992,60.5090713500977
1993,60.7043800354004
1994,61.3616714477539
1995,61.749641418457
1996,62.082389831543
1997,62.6230087280273
1998,63.241340637207
1999,63.6914596557617
2000,61.7520294189453
2001,62.5402412414551
2002,63.0046691894531
2003,62.8154487609863
2004,64.2447814941406
2005,63.7224502563477
2006,64.9140167236328
2007,62.295841217041
2008,62.3301315307617
2009,61.8767318725586
2010,62.1603088378906
2011,62.1134300231934
2012,63.7035102844238
2013,63.0729217529297
2014,64.9138717651367
2015,63.8959503173828
2016,65.7695999145508
2017,66.5571517944336
2018,64.9450988769531
2019,65.6260070800781
2020,65.4767379760742
2021,65.6045379638672
2022,65.5553665161133
2023,nan
