date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,46.7194290161133
1981,46.7186813354492
1982,47.3641891479492
1983,47.6773986816406
1984,47.9865188598633
1985,48.2978897094727
1986,48.6197814941406
1987,49.2756309509277
1988,49.9412117004395
1989,50.4821510314941
1990,51.1699600219727
1991,52.1685218811035
1992,53.7336196899414
1993,55.5847816467285
1994,56.3583793640137
1995,57.1568794250488
1996,58.0208892822266
1997,58.8620681762695
1998,59.7652206420898
1999,60.5018310546875
2000,57.4860000610352
2001,58.4077110290527
2002,59.0796012878418
2003,59.8598594665527
2004,60.9894485473633
2005,60.3049583435059
2006,66.2328262329102
2007,59.4409103393555
2008,60.8299713134766
2009,61.6337394714355
2010,62.1023902893066
2011,62.1597213745117
2012,63.5816497802734
2013,63.4453887939453
2014,64.3482666015625
2015,64.9517364501953
2016,65.6693267822266
2017,66.4344863891602
2018,65.9780883789062
2019,66.4268264770508
2020,66.8073425292969
2021,67.1697769165039
2022,67.5332183837891
2023,nan
