date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,69.0415496826172
1977,69.1443099975586
1978,70.1288375854492
1979,71.2281188964844
1980,72.2181091308594
1981,73.1783828735352
1982,73.711181640625
1983,74.884147644043
1984,75.7721710205078
1985,76.6293411254883
1986,77.3992233276367
1987,78.1738662719727
1988,81.7409362792969
1989,82.3269424438477
1990,82.1338195800781
1991,83.350227355957
1992,83.834098815918
1993,84.2964019775391
1994,84.7303771972656
1995,85.1932678222656
1996,85.6125793457031
1997,90.4145202636719
1998,90.7604522705078
1999,91.0391998291016
2000,91.2517929077148
2001,91.6210021972656
2002,91.9046325683594
2003,92.2715301513672
2004,92.4644088745117
2005,92.7838973999023
2006,93.0054397583008
2007,93.9794998168945
2008,94.1736526489258
2009,94.4404220581055
2010,94.6083297729492
2011,94.9711380004883
2012,95.1441268920898
2013,95.2111129760742
2014,95.4148864746094
2015,95.5112915039062
2016,95.7430801391602
2017,95.8903503417969
2018,96.0548934936523
2019,96.2434234619141
2020,96.5029296875
2021,96.5497817993164
2022,96.5905914306641
2023,nan
