date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,43.9997215270996
1975,44.4871711730957
1976,45.0156517028809
1977,45.558521270752
1978,46.2168388366699
1979,46.8881683349609
1980,47.6552886962891
1981,48.4222602844238
1982,49.2459602355957
1983,50.0341796875
1984,50.9099388122559
1985,51.938060760498
1986,52.8937797546387
1987,53.7257194519043
1988,54.8400688171387
1989,55.8455085754395
1990,58.235710144043
1991,59.5187606811523
1992,60.4993591308594
1993,61.3924407958984
1994,62.1976699829102
1995,63.8145713806152
1996,65.1247100830078
1997,66.0406265258789
1998,67.2555770874023
1999,68.3557662963867
2000,69.2367401123047
2001,70.5083999633789
2002,71.0265197753906
2003,74.0911712646484
2004,74.7003021240234
2005,74.4650192260742
2006,74.544189453125
2007,75.2320175170898
2008,75.8424224853516
2009,75.8617706298828
2010,76.6665496826172
2011,77.356689453125
2012,79.8540573120117
2013,77.862907409668
2014,81.5690612792969
2015,79.558479309082
2016,80.5925903320312
2017,81.5119323730469
2018,79.0097885131836
2019,79.3410034179688
2020,79.7623291015625
2021,80.0122528076172
2022,80.3575897216797
2023,nan
