date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,58.9247817993164
1976,59.0856018066406
1977,59.421558380127
1978,60.2114715576172
1979,61.0436782836914
1980,61.5834808349609
1981,62.4480285644531
1982,63.1602897644043
1983,64.0503311157227
1984,64.8835830688477
1985,65.6345825195312
1986,66.337043762207
1987,67.185791015625
1988,69.3665924072266
1989,70.0152130126953
1990,70.3557434082031
1991,71.1709518432617
1992,71.8366775512695
1993,72.415283203125
1994,72.9544525146484
1995,73.5155334472656
1996,74.0469284057617
1997,76.7100219726562
1998,78.3040008544922
1999,78.7304000854492
2000,78.9223175048828
2001,79.3047637939453
2002,79.7539596557617
2003,80.4270477294922
2004,80.8514633178711
2005,80.8280868530273
2006,81.0781021118164
2007,81.6219863891602
2008,82.0057373046875
2009,82.3709106445312
2010,83.2378463745117
2011,83.3502426147461
2012,83.9243087768555
2013,84.0189208984375
2014,84.720588684082
2015,84.9246978759766
2016,85.5015182495117
2017,85.757568359375
2018,85.8781967163086
2019,86.0900268554688
2020,86.4152374267578
2021,86.6206817626953
2022,86.8693313598633
2023,nan
