date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,nan
1997,nan
1998,nan
1999,nan
2000,nan
2001,nan
2002,nan
2003,98.5713272094727
2004,98.5838394165039
2005,98.6025238037109
2006,98.6130218505859
2007,98.6258010864258
2008,98.6464462280273
2009,nan
2010,nan
2011,nan
2012,nan
2013,nan
2014,nan
2015,nan
2016,nan
2017,98.7192993164062
2018,98.7272491455078
2019,98.7332611083984
2020,98.7402267456055
2021,98.7399520874023
2022,98.7406692504883
2023,nan
