date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,25.7251892089844
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,nan
1997,nan
1998,42.6993103027344
1999,nan
2000,nan
2001,nan
2002,nan
2003,nan
2004,nan
2005,49.8736381530762
2006,54.1512107849121
2007,52.1368293762207
2008,55.5263710021973
2009,54.8926391601562
2010,55.3751907348633
2011,54.7380218505859
2012,56.7643394470215
2013,55.5949897766113
2014,56.9771499633789
2015,nan
2016,nan
2017,59.1320495605469
2018,57.010570526123
2019,57.9988594055176
2020,nan
2021,nan
2022,nan
2023,nan
