date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,74.1431579589844
1993,nan
1994,nan
1995,nan
1996,nan
1997,nan
1998,nan
1999,nan
2000,nan
2001,nan
2002,nan
2003,nan
2004,nan
2005,nan
2006,83.5594635009766
2007,82.0286331176758
2008,83.951301574707
2009,84.1028900146484
2010,84.4927215576172
2011,85.4939880371094
2012,nan
2013,86.767578125
2014,nan
2015,87.9698486328125
2016,88.1417694091797
2017,88.4827117919922
2018,89.0085983276367
2019,89.1379165649414
2020,89.9845275878906
2021,nan
2022,nan
2023,nan
