date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,68.7402877807617
1977,68.9313888549805
1978,69.9041366577148
1979,70.9724502563477
1980,71.5033187866211
1981,72.8753890991211
1982,73.4478988647461
1983,74.578498840332
1984,75.5839767456055
1985,76.4373321533203
1986,77.2683715820312
1987,78.1140289306641
1988,81.4084625244141
1989,82.0005111694336
1990,81.9450302124023
1991,83.0566329956055
1992,83.5829162597656
1993,84.0818786621094
1994,84.5628128051758
1995,85.047248840332
1996,85.5018768310547
1997,89.8137893676758
1998,90.2042388916016
1999,90.5233993530273
2000,90.8406982421875
2001,91.1814193725586
2002,91.4581604003906
2003,91.8690185546875
2004,92.1204071044922
2005,92.4441070556641
2006,92.732551574707
2007,93.5746765136719
2008,93.8507232666016
2009,93.9343719482422
2010,94.1353988647461
2011,94.385871887207
2012,94.83447265625
2013,94.6060104370117
2014,95.3026428222656
2015,95.0711364746094
2016,95.6491088867188
2017,95.6296005249023
2018,95.4207229614258
2019,95.7350616455078
2020,95.956916809082
2021,95.9116668701172
2022,95.9559707641602
2023,nan
