date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,12.99
1975,17.24
1976,19.08
1977,14.87
1978,13.79
1979,14.35
1980,12.41
1981,12.61
1982,12.78
1983,12.96
1984,13.11
1985,13.29
1986,13.38
1987,nan
1988,nan
1989,nan
1990,5.11
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,nan
1997,nan
1998,nan
1999,nan
2000,5.05
2001,nan
2002,nan
2003,nan
2004,nan
2005,9.98
2006,nan
2007,nan
2008,nan
2009,nan
2010,9.2
2011,nan
2012,nan
2013,nan
2014,nan
2015,nan
2016,nan
2017,nan
2018,nan
2019,nan
2020,nan
2021,nan
2022,nan
2023,nan
