date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,17.55
1992,nan
1993,nan
1994,nan
1995,nan
1996,nan
1997,nan
1998,nan
1999,nan
2000,nan
2001,16.1
2002,nan
2003,nan
2004,nan
2005,nan
2006,31.11
2007,28.984
2008,23.405
2009,24.068
2010,27.312
2011,27.582
2012,28.01
2013,27.49
2014,27.517
2015,27.695
2016,25.408
2017,20.527
2018,18.4
2019,15.692
2020,15.868
2021,14.897
2022,12.657
2023,nan
