date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,0.05
1992,0.5
1993,1.4
1994,2.1
1995,2.9
1996,4.0
1997,2.8
1998,2.3
1999,2.1
2000,2.1
2001,2.3
2002,3.0
2003,3.1
2004,1.9
2005,1.5
2006,1.2
2007,1.0
2008,0.8
2009,6.1
2010,nan
2011,0.6
2012,0.5
2013,0.5
2014,0.5
2015,1.0
2016,5.844
2017,5.648
2018,4.763
2019,4.165
2020,4.049
2021,3.9
2022,3.574
2023,nan
