date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,9.78
1994,11.1
1995,12.48
1996,13.82
1997,12.68
1998,14.31
1999,12.84
2000,nan
2001,9.07
2002,10.04
2003,nan
2004,nan
2005,10.91
2006,9.39
2007,8.51
2008,8.18
2009,nan
2010,nan
2011,nan
2012,nan
2013,8.349
2014,8.244
2015,7.578
2016,7.0
2017,6.596
2018,nan
2019,9.053
2020,nan
2021,10.157
2022,nan
2023,nan
