date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,25.67
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,13.82
1992,nan
1993,nan
1994,21.2
1995,nan
1996,21.593
1997,nan
1998,20.86
1999,nan
2000,15.88
2001,18.54
2002,nan
2003,23.8
2004,nan
2005,nan
2006,17.782
2007,nan
2008,nan
2009,16.169
2010,17.86
2011,nan
2012,nan
2013,nan
2014,nan
2015,nan
2016,nan
2017,nan
2018,nan
2019,20.094
2020,21.017
2021,23.106
2022,23.615
2023,nan
