date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,10.5047288915028
1993,12.4006926796694
1994,11.3703219710612
1995,10.6840150293964
1996,10.1988370870959
1997,9.20235059482713
1998,9.01768680122935
1999,10.4176276830085
2000,12.4213826164116
2001,14.3309716044843
2002,14.9831519779323
2003,13.0006847345941
2004,12.9208540746029
2005,12.0601595505283
2006,10.1054446963892
2007,7.81111399813188
2008,6.60659148105123
2009,8.48618728071069
2010,9.89852171467373
2011,9.78925887607786
2012,9.97937191003944
2013,10.0481870905186
2014,8.86413733524672
2015,7.82265664366544
2016,6.49345477676331
2017,5.29764711939543
2018,4.31558554732781
2019,3.78084720704764
2020,4.3737883559419
2021,4.48659332388068
2022,4.00665058791919
2023,nan
