date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,14.69
1976,12.75
1977,11.83
1978,14.26
1979,13.63
1980,10.46
1981,11.35
1982,19.6
1983,14.65
1984,13.91
1985,nan
1986,8.71
1987,nan
1988,6.23
1989,5.29
1990,5.63
1991,5.23
1992,4.35
1993,4.49
1994,5.87
1995,4.7
1996,7.414
1997,7.136
1998,7.307
1999,11.158
2000,10.491
2001,10.39
2002,10.168
2003,9.765
2004,10.162
2005,9.34
2006,9.024
2007,8.427
2008,9.285
2009,11.313
2010,8.547
2011,7.492
2012,6.79
2013,6.361
2014,6.761
2015,6.605
2016,6.926
2017,7.29
2018,7.647
2019,7.533
2020,11.006
2021,9.325
2022,8.299
2023,nan
