date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,8.27
1996,7.61
1997,7.1
1998,6.23
1999,6.26
2000,5.45
2001,4.08
2002,3.31
2003,2.33
2004,1.854
2005,1.95
2006,1.913
2007,1.788
2008,1.583
2009,1.67
2010,2.5
2011,3.18
2012,3.46
2013,3.29
2014,2.7
2015,2.4
2016,2.0
2017,1.7
2018,1.7
2019,nan
2020,nan
2021,nan
2022,nan
2023,nan
