date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,6.449
1984,6.673
1985,6.875
1986,6.608
1987,6.813
1988,6.319
1989,5.705
1990,4.89
1991,5.316
1992,6.323
1993,7.675
1994,8.727
1995,8.158
1996,8.822
1997,9.861
1998,9.787
1999,8.854
2000,7.917
2001,7.89
2002,8.482
2003,9.779
2004,10.727
2005,11.167
2006,10.25
2007,8.658
2008,7.525
2009,7.742
2010,6.967
2011,5.825
2012,5.379
2013,5.231
2014,4.981
2015,4.624
2016,4.122
2017,3.746
2018,3.384
2019,3.136
2020,3.856
2021,3.638
2022,3.135
2023,nan
