date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,2.62979373108801
1992,2.61170544594846
1993,2.86519745823285
1994,3.15579827788888
1995,3.10546207134257
1996,3.26543535479867
1997,3.35600059178357
1998,3.70208238625238
1999,3.77373320726145
2000,4.14358085282873
2001,3.89484214701633
2002,4.29523112509423
2003,4.37571701920433
2004,4.35656616866009
2005,4.45368425605243
2006,4.33798451188899
2007,4.15707767975
2008,4.32113781003971
2009,4.28099759993013
2010,4.01064467014637
2011,3.91256276391222
2012,3.83039817193725
2013,3.76116011090102
2014,3.76110602373103
2015,nan
2016,nan
2017,3.52211024369837
2018,4.19038496558793
2019,4.21415301452262
2020,4.7101329205404
2021,4.43846959322617
2022,nan
2023,nan
