date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,4.4
1975,5.3
1976,nan
1977,5.8
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,7.24
1988,6.99
1989,7.71
1990,2.72
1991,8.19
1992,8.56
1993,7.95
1994,6.68
1995,6.7
1996,10.38
1997,9.17
1998,11.49
1999,13.96
2000,4.8
2001,4.252
2002,nan
2003,5.662
2004,5.002
2005,3.779
2006,3.55
2007,3.142
2008,3.917
2009,4.608
2010,4.088
2011,3.458
2012,3.235
2013,3.083
2014,3.48
2015,3.616
2016,4.597
2017,3.836
2018,3.53
2019,3.812
2020,6.127
2021,4.552
2022,3.761
2023,nan
