date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,1.3
1970,1.1
1971,1.5
1972,1.5
1973,2.49
1974,3.04
1975,4.8
1976,2.9
1977,5.2
1978,6.97
1979,8.61
1980,11.4
1981,14.17
1982,16.0
1983,17.49
1984,20.25
1985,21.64
1986,21.259
1987,20.607
1988,19.854
1989,17.331
1990,16.273
1991,18.88
1992,17.697
1993,22.156
1994,24.209
1995,22.675
1996,22.142
1997,20.698
1998,18.673
1999,15.475
2000,13.785
2001,10.348
2002,11.146
2003,11.283
2004,11.09
2005,9.146
2006,8.452
2007,8.232
2008,11.255
2009,17.857
2010,19.86
2011,21.391
2012,24.788
2013,26.094
2014,24.442
2015,22.058
2016,19.635
2017,17.224
2018,15.255
2019,14.104
2020,15.532
2021,14.781
2022,12.917
2023,nan
