date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,8.55209070198676
1992,9.2948639779287
1993,10.9510737205764
1994,11.5200041102085
1995,11.0803044173847
1996,11.1120367861638
1997,10.9010308756324
1998,10.491587346327
1999,10.1940051411028
2000,9.84357100063315
2001,9.63921687883725
2002,9.85527118238096
2003,9.6440011766708
2004,9.88152581708814
2005,9.62554608353345
2006,8.67567283306332
2007,7.49561210813578
2008,7.24898553661077
2009,9.17499426544336
2010,9.85358665328065
2011,9.90408511861273
2012,10.867696101802
2013,11.3205609473183
2014,10.8180241920617
2015,10.0202284528246
2016,9.10348638302551
2017,8.1194012443605
2018,7.25186197003969
2019,6.67426331604498
2020,7.04240085129941
2021,7.02260815246242
2022,6.14707588405725
2023,nan
