date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,3.3
1972,3.7
1973,2.6
1974,2.6
1975,4.0
1976,5.5
1977,5.8
1978,5.7
1979,5.3
1980,6.8
1981,10.4
1982,10.9
1983,11.088
1984,10.901
1985,11.48
1986,11.508
1987,11.017
1988,9.004
1989,7.405
1990,6.969
1991,8.55
1992,9.772
1993,10.346
1994,9.648
1995,8.694
1996,8.189
1997,7.072
1998,6.198
1999,6.042
2000,5.558
2001,4.696
2002,5.037
2003,4.807
2004,4.594
2005,4.751
2006,5.35
2007,5.262
2008,5.615
2009,7.537
2010,7.787
2011,8.038
2012,7.885
2013,7.525
2014,6.11
2015,5.301
2016,4.81
2017,4.33
2018,3.996
2019,3.737
2020,nan
2021,nan
2022,nan
2023,nan
