date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,2.4
1997,5.0
1998,14.53
1999,13.8
2000,10.82
2001,11.16
2002,12.59
2003,11.51
2004,12.62
2005,13.81
2006,13.57
2007,13.28
2008,17.87
2009,20.71
2010,20.203
2011,19.632
2012,19.653
2013,19.416
2014,17.439
2015,16.506
2016,16.604
2017,13.939
2018,12.667
2019,11.565
2020,11.734
2021,nan
2022,nan
2023,nan
