date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,12.92
1997,10.08
1998,11.56
1999,9.03
2000,11.02
2001,9.53
2002,8.82
2003,10.3
2004,10.44
2005,9.25
2006,8.4
2007,nan
2008,nan
2009,nan
2010,7.8
2011,9.4
2012,9.8
2013,10.1
2014,10.3
2015,9.1
2016,nan
2017,nan
2018,nan
2019,nan
2020,nan
2021,nan
2022,nan
2023,nan
