date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,6.77473739610293
1992,7.46056054794712
1993,7.96897308821678
1994,8.00908084174334
1995,7.59357753098753
1996,7.58783540588477
1997,7.29455730088784
1998,7.22283600140376
1999,7.03684888310862
2000,6.64178007139296
2001,6.66844857871428
2002,7.2293699344802
2003,7.22653670006944
2004,7.07520189945121
2005,6.77835654762412
2006,6.25540508249511
2007,5.69973655702279
2008,5.94275160102118
2009,8.07179764335566
2010,8.34538534527863
2011,8.10397389221499
2012,8.09420533577802
2013,7.99506911340988
2014,7.35395012048638
2015,6.75372006486338
2016,6.19899740528024
2017,5.66363040206062
2018,5.13901347230199
2019,4.81877340059474
2020,6.71839959430713
2021,5.71698474088918
2022,4.63681047511133
2023,nan
