date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,8.1
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,7.3
1983,nan
1984,nan
1985,nan
1986,12.12
1987,11.4
1988,nan
1989,nan
1990,4.78
1991,4.58
1992,3.06
1993,nan
1994,nan
1995,3.24
1996,4.37
1997,3.32
1998,4.02
1999,3.85
2000,nan
2001,4.0
2002,4.02
2003,5.3
2004,5.99
2005,4.909
2006,3.575
2007,3.211
2008,3.156
2009,3.292
2010,4.119
2011,4.475
2012,3.755
2013,5.646
2014,7.078
2015,6.147
2016,6.727
2017,5.528
2018,5.622
2019,5.551
2020,10.679
2021,7.94
2022,7.037
2023,nan
