date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,3.1
1976,3.5
1977,3.7
1978,3.1
1979,2.3
1980,2.9
1981,4.6
1982,5.9
1983,7.1
1984,7.4
1985,8.0
1986,7.7
1987,5.8
1988,3.3
1989,2.0
1990,2.1
1991,4.1
1992,4.3
1993,4.9
1994,4.7
1995,4.4
1996,3.54
1997,nan
1998,nan
1999,0.8
2000,0.6
2001,1.6
2002,0.5
2003,0.8
2004,1.0
2005,1.4
2006,2.42
2007,1.4
2008,1.4
2009,nan
2010,nan
2011,3.31
2012,nan
2013,2.598
2014,1.98
2015,nan
2016,2.67
2017,nan
2018,nan
2019,nan
2020,nan
2021,nan
2022,nan
2023,nan
