date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,14.2
1987,nan
1988,nan
1989,nan
1990,nan
1991,11.1
1992,nan
1993,nan
1994,nan
1995,nan
1996,9.1
1997,nan
1998,nan
1999,nan
2000,nan
2001,nan
2002,12.8
2003,nan
2004,10.3
2005,11.813
2006,11.519
2007,10.772
2008,10.63
2009,12.113
2010,13.679
2011,12.491
2012,12.275
2013,10.595
2014,10.68
2015,11.166
2016,12.618
2017,12.232
2018,12.195
2019,10.74
2020,9.687
2021,9.282
2022,9.085
2023,nan
