date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,4.47
1970,3.82
1971,3.46
1972,2.7
1973,2.64
1974,3.05
1975,nan
1976,3.47
1977,nan
1978,3.42
1979,2.78
1980,4.59
1981,4.92
1982,4.81
1983,4.32
1984,5.69
1985,6.33
1986,nan
1987,nan
1988,nan
1989,nan
1990,12.241
1991,13.387
1992,14.08
1993,12.741
1994,9.934
1995,8.782
1996,8.455
1997,9.751
1998,10.749
1999,11.183
2000,11.102
2001,11.812
2002,12.888
2003,13.505
2004,13.029
2005,11.342
2006,10.707
2007,9.379
2008,7.704
2009,9.534
2010,8.48
2011,7.139
2012,6.762
2013,6.137
2014,5.789
2015,5.176
2016,4.723
2017,4.14
2018,3.917
2019,3.731
2020,4.169
2021,4.812
2022,3.695
2023,nan
