date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,6.6
1984,nan
1985,nan
1986,13.3
1987,14.8
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,19.7
1994,nan
1995,14.6
1996,13.7
1997,nan
1998,nan
1999,nan
2000,13.7
2001,14.7
2002,15.3
2003,14.5
2004,nan
2005,14.8
2006,14.0
2007,13.1
2008,12.7
2009,12.9
2010,12.5
2011,12.9
2012,12.2
2013,12.6
2014,11.9
2015,13.075
2016,15.275
2017,18.12
2018,18.257
2019,16.801
2020,19.213
2021,19.837
2022,nan
2023,nan
