date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,0.05
1992,0.4
1993,1.11
1994,7.54
1995,10.98
1996,12.96
1997,13.01
1998,13.13
1999,13.46
2000,12.75
2001,10.43
2002,9.33
2003,8.78
2004,8.4
2005,8.13
2006,7.79
2007,7.26
2008,6.63
2009,6.55
2010,5.77
2011,5.39
2012,5.29
2013,5.2
2014,5.06
2015,4.93
2016,4.96
2017,4.9
2018,4.85
2019,4.8
2020,4.89
2021,nan
2022,4.86
2023,nan
