date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,6.63506358506672
1993,6.10996546520285
1994,nan
1995,8.44387993966765
1996,8.89291688934815
1997,8.575310592531
1998,8.98421816671439
1999,9.73641808484462
2000,nan
2001,9.06614341872232
2002,9.85804235986222
2003,9.40324595776045
2004,8.45220928682029
2005,8.32987422591611
2006,7.2417500626591
2007,7.36542004088202
2008,6.75656682211975
2009,7.78052780584909
2010,nan
2011,6.59701857943087
2012,6.41459569286002
2013,6.19478277255109
2014,6.00990601869751
2015,6.53099451869977
2016,7.6116538109354
2017,7.9577755247133
2018,7.9707653481035
2019,8.1481519871063
2020,10.5218745512664
2021,9.29978897270631
2022,6.96387147940467
2023,nan
