date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,0.15
1991,0.52
1992,0.76
1993,1.36
1994,1.02
1995,0.9
1996,1.6
1997,1.34
1998,1.78
1999,1.78
2000,1.27
2001,1.12
2002,1.45
2003,2.11
2004,2.4
2005,2.66
2006,2.46
2007,2.01
2008,nan
2009,nan
2010,nan
2011,nan
2012,nan
2013,nan
2014,nan
2015,nan
2016,nan
2017,nan
2018,nan
2019,nan
2020,nan
2021,nan
2022,nan
2023,nan
