date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,2.85937043146206
1992,3.59591612138148
1993,3.69720724159073
1994,3.9218098962475
1995,4.49493785545025
1996,4.53743548758134
1997,4.82390147102586
1998,5.07828942018897
1999,5.36090627235109
2000,5.16553937188477
2001,5.33434015137225
2002,5.67957309324961
2003,5.71499536366722
2004,5.52895523034617
2005,5.5523079469988
2006,5.214387777283
2007,4.91001063984265
2008,5.05427470802794
2009,5.34373989680459
2010,4.69485015060546
2011,4.85920411749329
2012,4.7475692215632
2013,4.68010615309053
2014,4.6186531335395
2015,nan
2016,nan
2017,4.89153932633982
2018,5.43112808887135
2019,5.57147844011047
2020,6.24821595284137
2021,5.85985065536621
2022,nan
2023,nan
