date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,nan
1997,nan
1998,nan
1999,11.14
2000,8.539
2001,7.366
2002,6.845
2003,6.378
2004,6.374
2005,5.633
2006,4.26
2007,2.749
2008,2.097
2009,3.024
2010,2.972
2011,2.677
2012,2.19
2013,1.894
2014,1.451
2015,1.781
2016,1.591
2017,1.622
2018,1.239
2019,1.502
2020,1.206
2021,0.794
2022,0.909
2023,nan
