date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,12.4280549245801
1992,nan
1993,nan
1994,nan
1995,nan
1996,nan
1997,nan
1998,nan
1999,nan
2000,nan
2001,nan
2002,12.7416318402175
2003,nan
2004,11.2117174945408
2005,11.3329373684737
2006,10.5767080613272
2007,9.85022187621919
2008,9.53698606639912
2009,9.75000193588931
2010,10.1586894696614
2011,nan
2012,10.805994525413
2013,10.5042901281396
2014,10.5516551065659
2015,10.5457503190782
2016,10.0881748331747
2017,10.7496733069693
2018,nan
2019,nan
2020,nan
2021,9.00054558992746
2022,nan
2023,nan
