date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,5.5
1996,nan
1997,nan
1998,nan
1999,nan
2000,nan
2001,nan
2002,6.2
2003,6.768
2004,nan
2005,nan
2006,7.193
2007,7.2
2008,5.565
2009,5.86
2010,6.549
2011,4.769
2012,3.905
2013,4.231
2014,4.798
2015,4.861
2016,7.235
2017,6.359
2018,5.377
2019,9.269
2020,6.594
2021,7.747
2022,6.211
2023,nan
