date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,7.16377563527126
1992,7.87645498730901
1993,7.35395462771574
1994,6.54959638631521
1995,6.03415863093214
1996,5.8664160370655
1997,5.40775952942969
1998,4.88696136177694
1999,4.5559672375251
2000,4.27676764256154
2001,4.98294520295762
2002,5.97740938464678
2003,6.1553947365534
2004,5.70343401150466
2005,5.25960604864086
2006,4.81792513642237
2007,4.78416867764879
2008,5.8370461819156
2009,9.16932265516932
2010,9.47635182508519
2011,8.80674634593942
2012,7.99543766304858
2013,7.34960260615367
2014,6.2614905790753
2015,5.46179554343945
2016,5.1054690107681
2017,4.58159707965248
2018,4.10869957355172
2019,3.89232074051283
2020,8.23120854050057
2021,5.59293168930171
2022,3.83370212832385
2023,3.83802791591032
