date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,3.2
1986,4.7
1987,5.8
1988,6.0
1989,8.66
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,nan
1997,nan
1998,nan
1999,nan
2000,nan
2001,4.12
2002,nan
2003,7.6
2004,6.41
2005,5.37
2006,5.31
2007,4.89
2008,6.2
2009,8.16
2010,7.83
2011,nan
2012,5.208
2013,5.28
2014,4.52
2015,4.7
2016,3.9
2017,3.3
2018,5.2
2019,nan
2020,nan
2021,nan
2022,nan
2023,nan
