date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,4.186
1987,4.214
1988,5.77
1989,7.305
1990,7.982
1991,10.614
1992,10.667
1993,9.804
1994,8.354
1995,6.461
1996,6.29
1997,6.857
1998,7.718
1999,7.023
2000,6.13
2001,5.433
2002,5.282
2003,4.745
2004,4.005
2005,3.807
2006,3.857
2007,3.661
2008,4.167
2009,6.121
2010,6.557
2011,6.491
2012,6.931
2013,5.839
2014,5.428
2015,5.415
2016,5.147
2017,4.736
2018,4.335
2019,4.109
2020,4.595
2021,3.776
2022,3.297
2023,nan
