date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,6.68178272710811
1992,7.28059023126233
1993,7.63667530065558
1994,7.83514436138964
1995,7.59995190176912
1996,7.55740209948515
1997,7.26283309657878
1998,7.23497121787765
1999,7.18037298158769
2000,6.78097795913087
2001,6.68580344452827
2002,7.17397447493419
2003,7.25386040013529
2004,7.18031855773743
2005,6.82163908007771
2006,6.17400550362789
2007,5.87687008654272
2008,6.19663632145471
2009,8.35573311412809
2010,8.50107442618653
2011,8.10200529267712
2012,8.08539956790069
2013,7.9747922858752
2014,7.40189041778156
2015,6.85222347411913
2016,6.43543006900234
2017,5.90735039269867
2018,5.46951282005291
2019,5.38903931352424
2020,7.28736657892393
2021,6.2667024353611
2022,5.05095563662506
2023,nan
