date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,13.645
1993,14.393
1994,14.825
1995,13.695
1996,12.684
1997,10.964
1998,9.935
1999,12.29
2000,16.314
2001,18.373
2002,21.21
2003,19.37
2004,19.074
2005,17.746
2006,13.841
2007,9.602
2008,7.118
2009,8.167
2010,9.637
2011,9.632
2012,10.088
2013,10.326
2014,8.99
2015,7.501
2016,6.161
2017,4.888
2018,3.846
2019,3.277
2020,3.162
2021,3.363
2022,2.886
2023,nan
