date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,nan
1997,nan
1998,nan
1999,nan
2000,nan
2001,nan
2002,nan
2003,nan
2004,1.48
2005,nan
2006,0.87
2007,0.52
2008,0.31
2009,0.31
2010,0.45
2011,0.56
2012,0.48
2013,0.28
2014,0.2
2015,0.17
2016,0.15
2017,0.14
2018,0.11
2019,0.1
2020,0.14
2021,0.14
2022,0.13
2023,nan
