date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,0.61
1980,0.57
1981,0.7
1982,0.56
1983,0.48
1984,0.34
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,nan
1997,nan
1998,nan
1999,nan
2000,14.4
2001,15.73
2002,17.63
2003,16.36
2004,16.12
2005,16.47
2006,16.65
2007,nan
2008,nan
2009,nan
2010,nan
2011,nan
2012,13.59
2013,nan
2014,nan
2015,nan
2016,nan
2017,nan
2018,nan
2019,nan
2020,nan
2021,nan
2022,nan
2023,nan
