date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,6.53361878986934
1993,7.01134433463139
1994,8.3939186048469
1995,8.51392826577231
1996,9.05354848140942
1997,9.88967663916205
1998,10.7682515359925
1999,11.5739745836583
2000,10.1609477040796
2001,10.1173285585262
2002,9.94925497020293
2003,9.48097360478971
2004,9.21616461235918
2005,8.56922632375235
2006,8.18684036629487
2007,7.47158182742428
2008,7.34205026682062
2009,9.14893074666698
2010,8.7399301890125
2011,8.02437320813307
2012,7.51533484064151
2013,7.56786282174917
2014,7.51039299594738
2015,7.4986883177387
2016,7.44118042650338
2017,7.08386716839769
2018,6.85623906893573
2019,6.91289752396353
2020,7.11317323789362
2021,6.82287075211931
2022,5.5548266762702
2023,nan
