date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,6.70210599761745
1995,nan
1996,nan
1997,nan
1998,nan
1999,nan
2000,3.25909481308226
2001,nan
2002,nan
2003,nan
2004,nan
2005,8.07805554008818
2006,nan
2007,nan
2008,nan
2009,nan
2010,2.91361183627412
2011,nan
2012,3.26104887094097
2013,nan
2014,nan
2015,nan
2016,nan
2017,nan
2018,7.18327670842273
2019,6.27936738368265
2020,7.88284834496513
2021,6.36171192763055
2022,4.87271445796914
2023,nan
