date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,16.13
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,nan
1997,15.94
1998,nan
1999,15.21
2000,14.94
2001,14.4
2002,14.55
2003,14.51
2004,14.23
2005,12.872
2006,12.51
2007,12.365
2008,12.444
2009,13.291
2010,13.049
2011,18.334
2012,17.63
2013,15.934
2014,14.259
2015,15.159
2016,15.557
2017,15.33
2018,15.459
2019,17.153
2020,nan
2021,nan
2022,nan
2023,nan
