date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,10.93
1983,12.06
1984,11.92
1985,11.21
1986,nan
1987,nan
1988,8.04
1989,8.26
1990,8.015
1991,8.21
1992,8.509
1993,8.962
1994,8.577
1995,7.644
1996,6.629
1997,6.841
1998,6.888
1999,7.687
2000,6.495
2001,8.381
2002,10.358
2003,10.542
2004,10.838
2005,10.636
2006,10.227
2007,10.285
2008,10.965
2009,14.026
2010,11.879
2011,9.789
2012,9.21
2013,9.713
2014,9.901
2015,10.304
2016,10.899
2017,10.919
2018,10.956
2019,13.73
2020,13.148
2021,11.969
2022,10.432
2023,nan
