date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,1.93
1997,2.87
1998,2.29
1999,2.33
2000,2.26
2001,2.76
2002,2.12
2003,2.25
2004,2.14
2005,nan
2006,nan
2007,2.026
2008,nan
2009,1.737
2010,1.114
2011,0.999
2012,1.027
2013,1.316
2014,1.256
2015,1.849
2016,1.848
2017,1.874
2018,1.161
2019,1.681
2020,2.103
2021,2.385
2022,1.535
2023,nan
