date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,nan
1997,nan
1998,nan
1999,nan
2000,11.629
2001,57.0
2002,55.0
2003,49.7
2004,39.7
2005,41.4
2006,44.9
2007,46.3
2008,47.5
2009,45.4
2010,nan
2011,nan
2012,30.879
2013,29.766
2014,35.264
2015,32.84
2016,27.491
2017,30.344
2018,27.761
2019,25.069
2020,25.459
2021,20.392
2022,12.093
2023,nan
