date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,nan
1997,nan
1998,25.0
1999,25.37
2000,29.88
2001,25.371
2002,27.18
2003,27.116
2004,24.673
2005,23.84
2006,22.616
2007,22.326
2008,19.507
2009,20.512
2010,23.181
2011,21.416
2012,21.786
2013,22.038
2014,22.606
2015,22.869
2016,24.023
2017,23.992
2018,24.218
2019,25.538
2020,24.339
2021,28.77
2022,28.838
2023,nan
