date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,4.645922247
1983,-2.385096491
1984,-2.337763111
1985,-2.847116666
1986,8.214486714
1987,6.653437364
1988,-1.374820367
1989,11.45982493
1990,-4.509494001
1991,1.37553448
1992,-0.006739777
1993,5.966498726
1994,-1.012983693
1995,4.013087766
1996,11.57864713
1997,5.270284705
1998,1.166527243
1999,3.538165796
2000,-1.021698632
2001,5.254662741
2002,0.619305843
2003,2.693500146
2004,0.711868703
2005,4.848873923
2006,5.450022835
2007,1.327169669
2008,3.590085815
2009,2.346947383
2010,3.854018413
2011,2.608341582
2012,0.065366433
2013,3.608158184
2014,5.098361166
2015,3.241346433
2016,2.375306517
2017,3.690654434
2018,1.810776866
2019,1.448662899
2020,3.335210065
2021,3.967968073
2022,2.636921042
2023,nan
