date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,nan
1997,-17.11227752
1998,6.23379361
1999,5.395329513
2000,6.695426768
2001,2.693068379
2002,2.047752202
2003,2.943582606
2004,6.307945302
2005,0.678565773
2006,3.118504495
2007,2.716325787
2008,7.071481622
2009,1.904877065
2010,7.650025763
2011,4.772922292
2012,5.392682097
2013,1.135027912
2014,1.961838447
2015,0.767592593
2016,2.047520514
2017,0.837116542
2018,1.176934471
2019,0.626890596
2020,1.349035396
2021,1.800568266
2022,0.055841995
2023,nan
