date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,1.418262428
1970,7.224122105
1971,4.082482121
1972,2.17707816
1973,-2.639336818
1974,7.528107255
1975,-0.534976348
1976,10.51772048
1977,6.097305322
1978,-2.973619245
1979,-3.944918356
1980,2.031600815
1981,4.429477424
1982,10.02438685
1983,-2.069361101
1984,2.733132273
1985,3.624872951
1986,9.072336468
1987,3.414726617
1988,2.312638202
1989,11.6543871
1990,-2.847918113
1991,1.984964912
1992,6.929434456
1993,0.373106686
1994,4.663989165
1995,-1.444570489
1996,9.385004146
1997,2.577392206
1998,7.048299025
1999,0.847774563
2000,-2.788883439
2001,4.859099258
2002,3.516048788
2003,3.203444092
2004,0.874400163
2005,3.554437603
2006,6.162193109
2007,-5.203064108
2008,1.455936049
2009,5.807924786
2010,2.691944679
2011,4.806924958
2012,0.107616528
2013,5.059368282
2014,-0.361577049
2015,-0.306081463
2016,0.993584317
2017,2.975016042
2018,3.438321104
2019,4.025448064
2020,0.801054207
2021,0.92495983
2022,0.947362686
2023,nan
