date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,-16.29999775
1994,-12.80000262
1995,-7.000006008
1996,3.000005168
1997,-6.900003136
1998,6.200004615
1999,7.099988296
2000,19.58734491
2001,11.09999955
2002,6.399466523
2003,5.608741703
2004,4.995563729
2005,7.49812405
2006,0.9
2007,4.001807792
2008,6.102048635
2009,3.50400998
2010,-1.999816372
2011,5.813359661
2012,6.608666262
2013,4.901019952
2014,-2.600729997
2015,6.60040443
2016,2.60000171
2017,4.200002037
2018,4.599994751
2019,7.26741649
2020,1.900000718
2021,3.298440461
2022,3.395778564
2023,nan
