date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,-3.650403636
1972,3.419558764
1973,13.88178576
1974,-14.38685612
1975,-5.407826611
1976,11.24022267
1977,-0.435643106
1978,10.49911296
1979,4.749882643
1980,3.099394187
1981,-7.184573676
1982,1.895631155
1983,0.0
1984,19.08066014
1985,9.322651083
1986,5.129916549
1987,-7.604563754
1988,14.19753348
1989,7.840535777
1990,2.52610373
1991,8.092227706
1992,0.668935882
1993,10.12693098
1994,3.282737488
1995,5.766855549
1996,5.6035718
1997,6.083006753
1998,5.246946549
1999,5.982777428
2000,4.570041301
2001,8.740805302
2002,3.037345065
2003,1.77398856
2004,7.11810304
2005,1.426646303
2006,7.067705608
2007,6.031579491
2008,2.095569077
2009,7.782352483
2010,-0.833877856
2011,0.951894911
2012,5.44444085
2013,6.109523957
2014,8.257282707
2015,0.022744419
2016,8.966194504
2017,7.564112603
2018,7.329068917
2019,5.159579593
2020,1.75332966
2021,5.197477597
2022,4.823496093
2023,nan
