date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,1.156364938
1972,-0.294281077
1973,-5.604747979
1974,15.0001624
1975,-0.815684493
1976,3.836347672
1977,-5.804730979
1978,5.601395494
1979,-6.440635984
1980,2.472188637
1981,8.073613476
1982,2.78900349
1983,0.290128285
1984,-1.062544606
1985,7.201729524
1986,12.5527117
1987,-10.15599735
1988,17.935507
1989,-1.366136295
1990,-6.528589269
1991,20.61679717
1992,2.559174063
1993,9.815052642
1994,0.5259406
1995,6.363435152
1996,12.53511483
1997,-3.900220072
1998,16.55237637
1999,1.404823942
2000,-5.183451132
2001,8.129158156
2002,-0.885983379
2003,9.263104494
2004,-5.172772701
2005,12.21096742
2006,1.646288309
2007,-5.142126206
2008,16.13293002
2009,-10.32819169
2010,14.56677576
2011,-2.258923583
2012,8.518101912
2013,6.207949539
2014,4.403375953
2015,-3.167542701
2016,4.16376035
2017,-0.202914926
2018,8.555423838
2019,-0.903222113
2020,0.511451273
2021,-7.307692876
2022,5.702105502
2023,nan
