date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,nan
1997,nan
1998,nan
1999,nan
2000,nan
2001,2.675616761
2002,9.158312614
2003,-7.241555184
2004,11.84416666
2005,4.871140158
2006,5.719084522
2007,2.139522477
2008,4.245748541
2009,-1.855680504
2010,-3.96508712
2011,-0.177885745
2012,-11.34346912
2013,15.75529455
2014,-12.65788115
2015,6.9328394
2016,7.714112644
2017,-8.042250759
2018,9.104776372
2019,-2.13138386
2020,6.619203366
2021,-8.075294476
2022,1.516722276
2023,nan
