date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,-3.648140866
1992,-8.17050981
1993,1.584228147
1994,-15.90132867
1995,-2.438562872
1996,1.508295121
1997,-5.455962078
1998,-1.49074287
1999,-7.169058058
2000,8.95085407
2001,1.420940247
2002,2.891308714
2003,7.571553816
2004,13.24679527
2005,2.457567524
2006,5.942384944
2007,4.805276047
2008,8.606545623
2009,0.283387978
2010,2.380279412
2011,6.674498271
2012,6.395305986
2013,-4.18826346
2014,2.762541301
2015,-2.419265342
2016,3.934948254
2017,4.398730715
2018,-15.51200084
2019,2.927676467
2020,4.748704351
2021,-4.084685307
2022,4.438579655
2023,nan
