date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,6.306310999
1972,3.389949547
1973,5.122858235
1974,8.577109075
1975,3.411030174
1976,-9.72222594
1977,33.26928722
1978,5.483357807
1979,-1.641512279
1980,1.136236263
1981,2.379620248
1982,4.618071255
1983,-3.950133037
1984,1.493438326
1985,0.755195592
1986,-4.909204015
1987,17.5369425
1988,0.07373871
1989,6.241816985
1990,11.27659649
1991,4.453238786
1992,12.81855124
1993,5.070499518
1994,3.728592839
1995,-0.116455692
1996,7.381992342
1997,6.640553081
1998,2.096901556
1999,10.93774844
2000,11.60633844
2001,-1.333405667
2002,-0.6321446
2003,39.08745485
2004,9.674915145
2005,3.275785999
2006,-7.031133487
2007,-12.14724243
2008,1.282023451
2009,2.567914166
2010,7.15664474
2011,-8.320386587
2012,14.64029232
2013,-1.358311094
2014,6.226741639
2015,-6.944476888
2016,-10.61954294
2017,12.36309976
2018,-2.385852364
2019,-3.007682578
2020,0.071377866
2021,19.08889664
2022,-0.11489183
2023,nan
